Question,Answer
On what day of the week does the fund calculate the net asset value per share?,The fund calculates the net asset value per share on Fridays.
On what day of the week are gross subscriptions and gross redemptions calculated if the reporting date falls on a holiday or other day on which the fund does not calculate them?,The fund calculates gross subscriptions and gross redemptions on the last day it calculated them in that week.
"Item C.1. For each security held by the money market fund, what is the name of the issuer?

_______________________________________

Item C.2. For each security held by the money market fund, what is the title","Item C.1. For each security held by the money market fund, the name of the issuer is _______________________________.

Item C.2. For each security held by the money market fund, the title of the issue is ____________________________________."
"What is the rating of the enhancement(s) or enhancementprovider(s) by any NRSRO that the board of directors (or its delegate) considered in evaluating the quality, maturity or liquidity of the security (together with the name","The rating of the enhancement(s) or enhancementprovider(s) by any NRSRO that the board of directors (or its delegate) considered in evaluating the quality, maturity or liquidity of the security (together with the name of the assigning NRSRO) is AAA."
What information is required to be reported by a money market fund on the Form N-MFP?,A money market fund must report information about the fund and its portfolio holdings as of the last business day or any subsequent calendar day of the preceding month.
What are the general requirements that are applicable to reporting on any form under the Act?,The General Rules and Regulations under the Act contain certain general requirements that are applicable to reporting on any form under the Act. These general requirements should be carefully read and observed in the preparation and filing of reports on this form.
"What does the term ""set out below"" mean?","The term ""set out below"" means that the following terms are defined in this Form N-MFP."
What is the name of the form that a small business investment company registered on Form N-5 must use to file its complete proxy voting record?,The name of the form is Form N-PX.
What are the consequences of a manager not filing Form N-PX by August 31 of each year?,The consequences of a manager not filing Form N-PX by August 31 of each year are that the manager may not vote on executive compensation matters and that the manager's proxy votes may not be counted.
Can more than one Institutional Manager file a report on Form N-PX for the reporting period?,"No, only one Institutional Manager can file a report on Form N-PX for the reporting period."
"What is the definition of an ""affiliated person"" as defined in Section 2(a)(3) of the Investment Company Act?","""Affiliated person"" means any person that, directly or indirectly, controls, is controlled by, or is under common control with another person."
Who is required to sign a report filed by a fund?,The report must be signed on behalf of the Fund by its principal executive officer or officers.
What is the Form 13F?,"The Form 13F is a regulatory filing that is required for institutional investment managers with over $100 million in qualifying assets. The form provides information on the manager's holdings, including any changes from the previous quarter."
What is Form N-PX?,Form N-PX is a form that an institutional manager is required to file in order to vote at a shareholder meeting.
What are the consequences of failing to file on Form 13F?,A person who fails to file on Form 13F may be subject to civil or criminal liability.
What is the appropriate procedure for filing a Form N-PX report as an amendment?,"The reporting person should check the amendment box on the Cover Page, enter the amendment number, and check the appropriate box to indicate whether the amendment is a restatement or adds new Proxy Voting Information. The amendment should also include a complete Cover Page and, if applicable, a Summary Page."
What types of information are included in a Form N-PX report?,"Form N-PX reports include information on the Report Type, the Cover Page, the Summary Page, and the Proxy Voting Information."
What is a Fund Voting Report?,"AFund Voting Report is a report compiled by a Fund, detailing which securities the Fund held and was entitled to vote on. The Report omits the List of Other Persons Reporting for this Manager, and includes both the Summary Page and the Proxy Voting Information."
What is the Fund Notice Report?,The Fund Notice Report is a report filed by a fund that did not hold any securities it was entitled to vote and therefore does not have any proxy votes to report.
What is the difference between an Institutional Manager Voting Report and a regular Proxy Voting Report?,"An Institutional Manager Voting Report includes all proxy votes required to be reported by the Institutional Manager, while a regular Proxy Voting Report does not."
"If an institutional manager does not report any proxy votes in their filing, what should they do?","An institutional manager who does not report any proxy votes should check the box for Report Type ""Institutional Manager Notice Report"" on the Cover Page and complete the notice report filing explanation section."
What happens if the reporting manager did not exercise voting power over securities involving any reportable voting matter?,All other reporting persons may omit this section.
What is the require signature for the Cover Page?,The Cover Page requires a signature from the reporting manager.
What happens if an Institutional Manager only reports part of the proxy votes required?,"The Institutional Manager Combination Report is filed, which includes the List of Other Persons Reporting for this Manager, the Summary Page, and the Proxy Voting Information."
What kind of additional information can be included on the cover page?,Additional information that can be included on the cover page includes information that does not impede the understanding or presentation of the required information.
"Could you please clarify what is meant by ""Institutional Managers with votes reported in this Form N-PX report pursuant to General Instruction C""?","Institutional Managers are defined in the text as entities that invest in equity securities for their own account, on a discretionary basis, and in accordance with rules promulgated by the SEC. General Instruction C requires that Institutional Managers disclose their votes on matters pertaining to the election of directors, executive compensation, and other significant matters."
What is the process for assigning numbers to Institutional Managers?,"Numbers are assigned to Institutional Managers when they file their first Form 13F. Assign a number to each Institutional Manager in the list of included Institutional Managers, and present the list in sequential order. The numbers need not be consecutive. Do not include the reporting person filing this report."
What is an ISIN?,An ISIN is an International Securities Identification Number. It is a unique identification number assigned to a security.
Where can I find Form N-PX?,Form N-PX can be found on the Securities and Exchange Commission website.
Why must an institutional manager separately report shares when the groups of institutional managers on whose behalf the shares are reported are different?,An institutional manager must separately report shares when the groups of institutional managers on whose behalf the shares are reported are different in order to maintain a clear and accurate record of the number of shares held by each group.
What is the series-specific information required by Item 1 of the proxy voting record?,"The series-specific information required by Item 1 of the proxy voting record is the name and address of the reporting Fund, the date of the vote, the title and CUSIP number of the security, the vote for or against, and the name of the holder of the proxy."
What information is a reporting person permitted to provide in response to paragraph (o)?,A reporting person is permitted to provide additional information about the matter or how it voted.
"When filing confidential information with the Securities and Exchange Commission, where must a person indicate that the confidential portion has been omitted from the public filing?",A person filing confidential information with the Securities and Exchange Commission must indicate at the appropriate place in the public filing that the confidential portion has been omitted and filed separately with the Commission.
What type of information must be included in a Form 13F filing?,"A Form 13F filing must include information about the institutional manager's holdings, as well as any request for confidential treatment of information included in the filing."
What is the process for requesting confidential treatment from the Commission?,"The process for requesting confidential treatment from the Commission is to provide enough factual support for its request to enable the Commission to make an informed judgment as to the merits of the request, including a demonstration that the information is customarily and actually kept private by the Institutional Manager and that failure to grant the request for confidential treatment would be likely to cause."
What is the maximum amount of time for which confidential treatment of proxy voting information may be requested?,The maximum amount of time for which confidential treatment of proxy voting information may be requested is one year.
What is the deadline for a company to file an amendment to its public Form N-PX report when confidential treatment is denied or expires?,The deadline for a company to file an amendment to its public Form N-PX report is six (6) business days after the expiration of confidential treatment or notification of denial.
What are the conditions under which a confidential treatment granted for a filing expires?,"The conditions for expiration are either the expiration of the time period requested, or the expiration of a previous confidential treatment."
What is the OMB's review process for collections of information?,The review process involves ensuring that the information collection burden estimate is accurate and that there are suggestions for reducing the burden.
How many shareholder votes did the reporting person exercise voting power over during the period covered by the form?,The reporting person exercised voting power over shareholder votes during the period covered by the form.
"How were the shares in paragraph (i) voted, and if the votes were cast in multiple manners, how many shares were voted in each manner?","The shares in paragraph (i) were voted for or against proposal, or abstained; for or withhold regarding election of directors. If the votes were cast in multiple manners, the number of shares voted in each manner would be as follows: shares voted for proposal, shares voted against proposal, shares abstained from voting, shares voted for election of directors, and shares voted to withhold election of directors."
What is the filing deadline for companies registered on Form N-5?,Companies registered on Form N-5 must file reports with the Commission not later than 60 days after the close of the first and third fiscal quarters.
What are your thoughts on the accuracy of the information collection burden estimate? Do you have any suggestions for reducing the burden?,The information collection burden estimate seems accurate. I have no suggestions for reducing the burden.
What is the deadline for registered management investment companies to file their complete portfolio holdings?,Registered management investment companies must file their complete portfolio holdings on Form N-Q as of the close of the first and third quarters of each fiscal year. A report on this form shall be filed not later than 60 days after the close of the first and third quarters of each fiscal year.
What type of information is required to be included in a statement or report?,"The required information to be included in a statement or report is expressly required information, further material information, if any, and such other information that may be necessary to make the required statements not misleading."
What are the requirements for incorporating a document by reference?,"The requirements for incorporating a document by reference are that the document must be filed within the last 5 years, and that it cannot be incorporated by reference to another document."
What are the consequences of not manually signing a copy of a report filed with the Commission or an exchange?,The consequences of not manually signing a copy of a report filed with the Commission or an exchange are that the copy will not be valid.
What are the consequences of failing to indicate all capacities in which a person signs a report?,The consequences of failing to indicate all capacities in which a person signs a report are that the person may be subject to fines or other penalties under the Exchange Act or the Act.
What is the evaluation of these controls and procedures required by Rule 30a-3(b) under the Act?,The evaluation is required to assess the effectiveness of the controls and procedures in place to ensure compliance with the165 Act.
What was the date of the evaluation of the disclosure controls and procedures?,A date within 90 days prior to the filing date of this report.
"What may happen if a person to whom SEC staff discloses a record during an inquiry, examination, or investigation is believed to have committed perjury?",That person may be charged with perjury.
What is the process for requesting and obtaining a security clearance?,"The requesting agency must submit a completed security clearance application to the security clearance agency. The security clearance agency will then conduct a background check on the applicant. If the applicant is determined to be eligible for a security clearance, the security clearance will be issued."
What is the preferred method for presenting information in the Management's Discussion and Analysis?,The preferred method for presenting information in the Management's Discussion and Analysis is to include the information in tabular form in the order appearing below.
What is the basis used for presenting averages in the text?,The basis used for presenting averages in the text is a daily average basis.
What are the major categories of interest-earning assets and interest-bearing liabilities?,"The major categories of interest-earning assets are loans, taxable investment securities, non-taxable investment securities, interest bearing deposits inother banks. Federal funds sold and securities purchased with agreements to resell, other short-term investments, and other (specify if significant). The major categories of interest-bearing liabilities are savings deposits, other time deposits, short-term debt."
What is the purpose of segregating interest expense into different categories?,The purpose of segregating interest expense into different categories is to isolate the effect of changes in volume and changes in rates on interest expense. This information can be used to better understand and manage the interest expense of a company.
What is the book value of investments in obligations of the U.S. Treasury and other U.S. Government agencies and corporations?,"As of the end of each reported period, the book value of investments in obligations of the U.S. Treasury and other U.S. Government agencies and corporations is $9,841,000."
"What is the amount of each investment category that is due in one year or less, after one year through five years, after five years through ten years, and after ten years?","As of the end of the latest reported period, the amount of each investment category that is due in one year or less is $400,000, the amount that is due after one year through five years is $500,000, the amount that is due after five years through ten years is $600,000, and the amount that is due after ten years is $700,000."
"What is the definition of a ""single issuer"" with regard to securities?",A single issuer is a state of the United States and its political subdivisions and agencies which are payable from and secured by the same source of revenue or taxing authority.
What is the difference between gross interest income and net interest income?,"The difference between gross interest income and net interest income is that gross interest income includes interest income from loans that may not have been repaid in full during the period, while net interest income only includes interest income from loans that were repaid in full during the period."
What is the exception to the rule that all loans must be included in the reported amounts?,Loans to foreign borrowers which are restructured for reasons other than concerns as to ultimate collectibility and which are included in amounts disclosed pursuant to Instruc-tion (6)(d) to Item III.C.3. need not be included in amounts reported pursuant to Item III.C.1.(c).
"If management has serious doubts about a borrower's ability to repay a loan, will this information be disclosed?",This information will be disclosed if it may result in the disclosure of such loans.
What should be included in cross-border outstandings for a non-local currency?,Material local currency outstandings that are not hedged or not funded by local borrowings should be included in cross-border outstandings.
"How should loans made to, or deposits placed with, a branch of a foreign bank located outside the foreign bank's home country be considered for the purposes of determining the amount of outstandings to be reported?","loans made to, or deposits placed with, a branch of a foreign bank located outside the foreign bank's home country should be considered as loans to, or deposits with, the foreign bank."
What are short-term outstandings?,Short-term outstandings are trade credits and interbank deposits (and similar items) which have maturities of one year or less.
Why might the total amounts of interest income and interest collected during the most recent reported period be significantly different from the amounts disclosed pursuant to subpart (b)?,"There are several potential reasons why the total amounts of interest income and interest collected during the most recent reported period might be significantly different from the amounts disclosed pursuant to subpart (b). For example, the interest income and interest collected may have been earned on different types of outstandings (e.g., loans and bonds), or the interest income may have been earned over a different period of time than the interest collected. In addition, the total amounts may be affected by interest rate changes,"
What information should be disclosed if interest rates are variable?,The applicable index and the weighted average spread from the index should be disclosed in lieu of the actual rates as of any particular date.
What is the most recent reported period?,The most recent reported period is the end of the most recent financial quarter.
What are the risk elements in the loan portfolio?,"The risk elements in the loan portfolio include the creditworthiness of the borrower, the collateral backing the loan, and the terms of the loan."
What is the process for drilling additional wells and how much does it cost?,"The process for drilling additional wells involves drilling deeper into the existing well in order to reach new areas of oil and gas. This process can cost anywhere from $500,000 to $1,000,000."
What are the arrangements and understandings with respect to the provision of funds for expenditures in connection with the program and with respect to participation in revenues from any production of minerals which may be realized?,"The arrangements and understandings vary depending on the specific program and project. However, in general, the arrangements and understandings stipulate that the participating party will provide funding for the program or project and will also receive a portion of any revenues generated from the production of minerals."
What are the drilling results for each of the programs?,The drilling results for each of the programs are indicated in the text.
What is the purpose of an appraisal?,The purpose of an appraisal is to provide an estimate of value.
What is the purpose of disclosing in the prospectus that the Partnership may purchase properties in which the General Partner or its affiliates have a material interest?,The purpose of disclosing in the prospectus that the Partnership may purchase properties in which the General Partner or its affiliates have a material interest is to provide information about the potential investments of the Partnership and to alert investors that the General Partner or its affiliates may have a financial interest in these properties.
What is the consequence of the exculpation clause in the Partnership Agreement?,The consequence of the exculpation clause in the Partnership Agreement is that the purchasers of the interest have a more limited right of action than they would have absent the limitation.
What happens if the IRS determines that a partnership is actually an association taxable as a corporation?,You would be deprived of the tax benefits associated with the offering.
What is the risk that an investor's tax liabilities may exceed the cash he or she receives upon disposition of a partnership interest or property?,The investor may have to pay taxes out of pocket if the tax liabilities are more than the cash received.
Can you explain the risks associated with investing in a real estate syndicate?,"Real estate syndicates present a number of risks to investors. First, investors are unable to evaluate the manner in which the proceeds are to be invested and the economic merit of the particular real estate projects prior to investment. Second, it should be disclosed that there may be a substantial period of time before the proceeds of the offering are invested and therefore a delay to investors in receiving a return on their investment."
"Based on the text, what should be included in the prospectus?","Tables containing historical information on the use of proceeds from prior programs, compensation to sponsors, operations of prior programs, and acquisitions and dispositions should be included in the prospectus."
What are the investment objectives of the programs?,The investment objectives of the programs are to invest primarily in real estate.
What is the approximate percentage of the overall data that represents activities of programs with investment objectives similar to those of the registrant?,The narrative should indicate the approximate percentage of the overall data that represents activities of programs with investment objectives similar to those of the registrant.
What are the major adverse business developments or conditions that prior programs have experienced that would be material to investors in this program?,"The major adverse business developments or conditions experienced by prior programs that would be material to investors in this program include discussion of the materiality of the program to investors, cross-reference to appendix II, and table III."
What is the basic rule of partnership taxation?,The basic rule of partnership taxation is that a partnership is not a taxable entity.
What is the basis of the author's interest in the partnership?,The basis of the author's interest in the partnership is the inclusion of a partner's share of the partnership's nonrecourse debt in the adjusted basis of his partnership interest.
What are the tax problems that will arise after partnership property reaches the point where the partnership's nondeductible mortgage amortization payments exceed its depreciation deductions (the crossover point)?,"The tax problems are that the partnership's taxable income will increase, and the investor's tax liability will increase."
What is the tax effect on a partner of being relieved from his share of the partnership's nonrecourse liabilities?,"If a partner is relieved from his share of the partnership's nonrecourse liabilities, the tax effect would be that he would no longer be able to deduct those liabilities from his taxable income. This could potentially increase his tax liability."
What are some possible tax implications of giving away a partnership interest?,"There are a few possible tax implications of giving away a partnership interest. First, the donor may be relieved of his share of the partnership's nonrecourse liabilities. Second, the donor may realize a taxable gain on the gift to the extent that his share of such liabilities exceeds his adjusted basis in his partnership interest."
What are the tax implications of disposing of property that is subject to nonrecourse debt?,"When disposing of property that is subject to nonrecourse debt, the gain will be taxed as ordinary income to the extent of the debt, and as capital gain on the remainder."
What is the expected annual net loss for tax purposes for a partnership Limited Partner?,The annual net loss for tax purposes for a partnership Limited Partner is expected to be substantial.
Will all assignees be given tax information?,It is not clear from the text whether all assignees will be given tax information.
What is the nature of the understanding or arrangement between the registrant and the broker or dealer?,The understanding or arrangement between the registrant and the broker or dealer is that the interests will be distributed after the registration statement is effective.
Who is required to provide the material for the registration?,the registrant
What types of sales material must be submitted to the SEC for review?,"Any sales material that is intended to be furnished to investors orally or in writing, other than that which is used for internal purposes of the registrant, and including all material described in paragraph B above, should be submitted to the SEC for review."
What is considered to be sales material according to this paragraph?,Sales material is defined as all marketing memoranda that are sent by the General Partner or its affiliates to broker/dealers or other sales personnel and may include material labeled “for broker/dealer use only.”
What is the IRS's official stance on using outside counsel to supplement tax information?,"According to the text, the IRS's official stance is that tors should refer to either a ruling of the IRS or an opinion of counsel. Counsel should be named, his acknowledgement furnished supplementally with respect to such use, and any qualification contained in counsel’s opinion should be referred to in such material."
Where does the program seek a ruling as to the tax status from the IRS?,The program seeks a ruling as to the tax status from the IRS in the prospectus.
How much of the real estate commission does the buyer typically pay?,"Generally, the buyer will pay a portion of the real estate commission."
What should be included in each table to help investors understand the data presented?,A brief narrative explaining the objective of the table and what it covers should be included in each table to help investors understand the data presented.
"If the sponsor does not have a ""public track record,"" how much information must be given for each prior program?","If the sponsor does not have a ""public track record,"" information must be given for each prior program, public or nonpublic, with investment objectives similar to those of the registrant."
Why should a sponsor indicate by note if the investment objectives of any program are not similar to those of the registrant?,The sponsor should indicate by note if the investment objectives of any program are not similar to those of the registrant so that investors are aware that the programs have different objectives and that the information about those programs is being presented on an aggregate basis.
"If the sponsor does not have a public track record, how much information must be provided for each prior program, public or nonpublic, with investment objectives similar to those of the registrant?","If the sponsor does not have a public track record, information must be given for each prior program, public or nonpublic, with investment objectives similar to those of the registrant."
Why should the investment objectives of any program that is not similar to that of the registrant be briefly described?,The sponsor should describe the investment objectives of any program that is not similar to that of the registrant in order to provide transparency and clarity to potential investors.
"If the sponsor does not have a ""public track record,"" how many programs, public or nonpublic, must have investment objectives similar to the registrant's in order for the sponsor to be considered?","The sponsor must have information on at least five programs, public or nonpublic, with investment objectives similar to the registrant's in order for the sponsor to be considered."
How many programs should be aggregated if they have similar investment objectives?,The number of programs that have been aggregated should be disclosed.
What is the difference between reporting on a GAAP basis and on a non-GAAP basis?,"The difference between reporting on a GAAP basis and on a non-GAAP basis is that GAAP reporting requires the use of generally accepted accounting principles, while non-GAAP reporting does not."
What information must be provided if the sponsor of a registered investment program does not have a public track record?,"If the sponsor of a registered investment program does not have a public track record, then information must be provided for each prior program, public or nonpublic, with investment objectives similar to those of the registrant."
In what cases should a sponsor indicate by note that the investment objectives of any program are not similar to those of the registrant?,"A sponsor should indicate by note if the investment objectives of any program are not similar to those of the registrant in cases where the investment objectives for those program are not similar to those of the registrant, and should briefly describe the investment objectives of the program."
What is the difference between public and nonpublic programs?,"Public programs are funded by the government, while nonpublic programs are not."
Does the text provide information on the type of property?,"Yes, the text provides information on the type of property."
"What are the terms of the partnership's purchase money mortgages, including the interest rate, any balloon payment requirements, and other special provisions?","The terms of the partnership's purchase money mortgages include the interest rate, any balloon payment requirements, and other special provisions. The interest rate is fixed at 8 percent per annum and the balloon payment is due and payable in five years. There are no other special provisions."
"What are the costs that need to be included in the ""Selling Price, Net of Closing Costs and GAAPAdjustments"" category?","The costs that need to be included in the ""Selling Price, Net of Closing Costs and GAAPAdjustments"" category are the amounts incurred in the administration of the partnership that are related to the operation of the properties."
What is the effect of unusual circumstances on the data presented in (a)?,The amount presented in (a) may be affected by unusual circumstances.
What are the groups mentioned in the next to last paragraph of Item l of this Guide? What are the statutory P/C reserves for claims and claim adjustment expenses in total for each of those groups? Explain briefly the nature and amount of principal,"The groups mentioned in the next to last paragraph of Item l of the Guide are private passenger automobile, commercial automobile, workers compensation, and other liability. The statutory P/C reserves for claims and claim adjustment expenses in total for each of those groups are as follows:

Private passenger automobile: $30,000,000
Commercial automobile: $26,000,000
Workers compensation: $22,000,000
Other liability: $16,000,000

The principal"
What are the conditions that the registrant must meet in order to obtain or retain the property?,"The registrant must meet any conditions that are indicated by the holder or operator of the property. If the property is held by leases or options, the registrant must meet the expiration dates of those leases or options."
What is the name of the author of the most recent material engineering report concerning the registrant's property?,The name of the author of the most recent material engineering report concerning the registrant's property is not known.
What is the purpose of collecting and maintaining records?,"The purpose of collecting and maintaining records is to produce summary descriptive statistics and analytical studies, as a data source for management information, in support of the function for which the records are collected and maintained or for related personnel management 3 functions or manpower studies."
What is the SEC's policy on disclosing records to persons during an inquiry or investigation?,The SEC policy is to disclose records to persons during an inquiry or investigation if the SEC staff has reason to believe that the person to whom the records are disclosed may have information relevant to the inquiry or investigation.
Is it necessary to disclose information under the FOIA?,It is not necessary to disclose information under the FOIA unless a request for disclosure is received.
What must the SRO file in order to participate in the pilot trading system?,The SRO must file Part II of Form PILOT.
What are the routine uses of the SEC-2 records?,"The routine uses of the SEC-2 records include providing the records to Congress, the President, federal agencies, state and local governments, and private parties for the purpose of litigation."
"What is the minimum percentage of the average daily trading volume of a security that must be traded in order for it to be eligible for the SEC's ""pilot trading system""?","The minimum percentage of the average daily trading volume of a security that must be traded in order for it to be eligible for the SEC's ""pilot trading system"" is 5%."
"What is the average daily trading volume for securities subject to the ""pilot trading system"" referred to in the text?","The average daily trading volume for securities subject to the ""pilot trading system"" referred to in the text is 1%."
"What is the information and statements contained in the text, including exhibits?","The text contains information and statements about the pilot trading system, including exhibits about the system's performance."
What types of securities sales are exempt from the Securities Act of 1933?,"Sales of securities by an issuer not involving any public offering, sales of securities pursuant to and in consummation of a tender or exchange offer, and sales of securities by an investment company."
"What is an ""emerging growth company"" as defined in the Securities Act?","An ""emerging growth company,"" as defined in the Securities Act, is a company that has not yet had an initial public offering and may omit certain financial information from its filings."
What is the purpose of Rule 409 in connection with the registration of securities on Form S-3?,"Rule 409 of the Securities Act of 1933 requires the inclusion of certain information about an issuer's securities when those securities are being registered on Form S-3. This information includes the type of security being registered, the maximum offering price, the minimum offering price, the expiration date of the offering, and the method of distribution."
What is the significance of the information contained in a Rule 462(b) registration statement?,The information contained in a Rule 462(b) registration statement is deemed to be a part of the earlier registration statement as of the date of effectiveness of the Rule 462(b) registration statement.
Have there been any changes in the registrant's affairs since the end of the latest fiscal year?,"Yes, there have been changes in the registrant's affairs since the end of the latest fiscal year."
What does Rule 405 allow companies to do?,Rule 405 allows companies to incorporate by reference information filed after the effective date of the registration statement.
What is the value per share of the securities to be received by the registrant or cancelled upon the issuance of securities registered on this Form?,The value per share of the securities to be received by the registrant or cancelled upon the issuance of securities registered on this Form is $5.
"According to Rule 457(f)(3), how should the maximum aggregate offering price for a transaction be determined?","The registrant should deduct any amount of cash to be paid by the registrant in connection with the exchange or other transaction from, and add any amount of cash to be received by the registrant in connection with the exchange or other transaction to, the value of the securities to be received or cancelled as calculated in accordance with Rule 457(f)(1) and (2), as applicable."
For what purpose are the instructions for contemporaneous fee payment given in the text?,The instructions for contemporaneous fee payment are given in the text to explain how to calculate a required fee that is satisfied through the actual transfer of funds.
How much money can be offset against the currently due fee?,$500
How much would the payment need to be in order for it to be considered eligible under the amendment?,"The payment would need to be at least $5,000 in order to be considered eligible under the amendment."
"What is the filing fee for a case with an offset of $30,000?","The filing fee for a case with an offset of $30,000 is $25,000."
What is the total number of securities that may be offered and sold using the combined prospectus?,"The total number of securities that may be offered and sold using the combined prospectus is 79,500,000."
Can an issuer use Form S-11 if they are offering asset-backed securities?,No. Form S-11 may not be used by an issuer offering asset-backed securities.
Who is required to provide information under Items 9 to 16 and Item 18?,"The registrant and any promoter, director, officer or security holder of such other issuer who is an affiliated person of the registrant."
"What is the definition of an ""associate"" of a registrant?","Based on the text, an ""associate"" of a registrant is defined as any person who owns beneficially 10 percent or more of any class of equity securities of the registrant, or any person who is directly or indirectly connected with the registrant in any capacity, or any person who performs general management or advisory services for the registrant."
What is the purpose of incorporating information from an earlier registration statement into a new registration statement?,The information in the earlier registration statement is incorporated into the new registration statement in order to provide an offering history for the securities being registered.
What two items are mentioned in the text?,Item 28A and Item 29
What is a successor registrant?,A successor registrant is a company that takes over another company.
What happens if there is no market for the securities being registered?,The state is required to disclose the nature of the market for such securities on the outside front cover page of the prospectus.
To what extent can the officers and directors of a registrant change company policy without a vote of the security holders?,"The officers and directors of a registrant can change company policy to a certain extent without a vote of the security holders. The registrant may engage in such activities to a certain extent, and it has engaged in such activities during the past three years."
Can the board of directors make changes to company policy without a vote from the shareholders?,Yes.
What is the balance due at maturity for each of the encumbrances against the property if no payments are made on the principal in advance of the due date?,The balance due at maturity for each of the encumbrances against the property would be the full amount of the principal owed plus any accrued interest.
What competitive conditions is the company's property subject to?,The company's property is subject to general competitive conditions.
"Who determines the purchase or sale price of the assets, and what principle is followed in making such determination?","The registrant’s purchase or sale price is determined by the name of the person making such determination, and the principle followed is to state the cost of the assets to the purchaser and, if acquired by the seller within two years prior to the transaction, the cost thereof to the seller. Furthermore, if the assets have been acquired by the seller within five years prior to the transaction, disclose the aggregate depreciation claimed by the seller for federal income tax purposes."
What is required to be included in a registration statement?,All schedules required by Regulation S-X are to be included in the registration statement.
What are the material changes in the registrant's affairs which have occurred since the end of the latest fiscal year?,The material changes in the registrant's affairs which have occurred since the end of the latest fiscal year are the changes which have not been described in a Form 10-Q or Form 8K filed under the Exchange Act.
"What is the price of the securities being registered, and what is the price of the same class of securities being offered to the general public?","The price of the securities being registered varies, depending on the person or class of security holder selling the securities. The price of the same class of securities offered to the general public is not provided in the text."
How do you account for the sale of par value shares if the consideration is less than par value?,The amount per share involved in the sale is credited to an account other than the appropriate capital share account. The account is then debited for the estimated amount per share.
What risks are associated with options transactions?,"The risks associated with options transactions include the risk of losing money, the risk of the stock price not rising, and the risk of the stock price not falling."
What is the description of a class of securities that is contained in a registration statement filed under the Exchange Act?,The description of a class of securities that is contained in a registration statement filed under the Exchange Act is a description of the class of securities that is registered under Section 12 of the Exchange Act.
What is the applicable state law for a solicitation of votes or consents of all of the security holders of the company being acquired?,The applicable state law would not require the solicitation of the votes or consents of all of the security holders of the company being acquired.
What are some of the key requirements for sending a prospectus to security holders in connection with an acquisition?,"The key requirements for sending a prospectus to security holders in connection with an acquisition are:

1. The prospectus must be sent to the security holders no later than 20 business days prior to the date on which the meeting of such security holders is held or, if no meeting is held, at least 20 business days prior to either (1) the date of such votes, consents or authorizations, or (2) the date the transaction is consummated or the votes, cons"
What are the eligibility requirements for incorporating information by reference into a Form S-11 prospectus?,The registrant must qualify for and elect to provide information pursuant to alternative 1.a. or 1.b. of this instruction.
"What is the information that would be required by Items 13, 14, 15 and 16(a) of Form S-11 if securities of a company being acquired are being registered?","The required information would be the same as if securities of the company being acquired were being registered, and would include information about the company's financial condition, business result, and management."
What is the difference between a proxy statement and an information statement?,"A proxy statement is filed in connection with an ordinary shareholder meeting, while an information statement is filed in connection with a special shareholder meeting."
What is Rule 475a and what does it allow for?,Rule 475a allows for amendments to be filed with the consent of the Commission.
What is the minimum number of copies of a document that must be filed with the court when making changes to the document?,The minimum number of copies of a document that must be filed with the court when making changes to the document is four.
